address,name
14YeKFGXE23yAdACj6hu5NWEcYzzKxptYbm5jHgzw9A1P1UQfMv,Binance
13HPSdf8Ng8E2uKpLm8Ba3sQ6wdNimTcaKXYmMkHyTUUeUELPwJ,Binance.US
14sKWeeYWQWrBSnLGq79uRQqZyw3Ldi7oBdxbF6a54QboTNBXDL,Bobcat [Maker]
14iLrXUuGVhb7w1P8X3iBvRwoT9oemgbDonm5VVZJk56TdV8NV1,Browan/MerryIoT [Maker]
13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY,Cal-Chip Connected Devices [Maker]
13XuP2DjHEHVkKguDDZD2ev5AeqMLuJ8UQ44efEcDmVTnBcvc6F,ClodPi [Maker]
14go8hvEDnotWTyhYv6Hu5PTnRUAQzJqbB6dsDm1oThkCcZe9zd,Controllino [Maker]
13cbbZXzqwp6YMM5JvAu5T1TRhenENEJVU5Q8vpLhunQYE1Acpp,COTX Networks [Maker]
13PBfQf1kaZPD3zN8LyoY5QtEDSZKJYZS5N7S5hZYaEz2Kh8znT,Crypto.com
146S5XCtvB1VwqYzJnRr8goiADUFTscGAUb2ihKUBVYuvMrrNCx,Deeper [Maker]
14Rx9cUN9AUnEysf5w7fypnGv1Bh9Tq9LcYyLAiYQu2QKzXknGq,DeWi
143gvGWgGHJy12Abck2m1ttHLJHQTbzyW3TmyGF1z42mHiqJuqb,DeWi
13LVwCqZEKLTVnf3sjGPY1NMkTE7fWtUVjmDfeuscMFgeK3f9pn,DeWi Foundation [Maker]
13gb8SJg8MZSyLakrx8ago146Gxk7tpvY4R3kgMSYGzAKE188m2,Dragino [Maker]
13H9ykhRaWw8AVEMqf7rV6Fn9fnLXxZ6G98JEdsA1gdcJKYqQYW,Emrit
131Pp7jgpzCQXYArWFEeqLBwrXPg5wVeFmyBvDTpHiroKHEF3VY,Emrit
13VmJyT5bJHXjMoH1h9Mo1JcU5X1MSGhkVmViGR8JXYbKqogYyr,Emrit
13oBvk7EmZ5nMckycXRoBrR7ymXeFWn86gFhso14QnJWmB8HJQG,Fairspot
13y2EqUUzyQhQGtDSoXktz8m5jHNSiwAKLTYnHNxZq2uH5GGGym,FreedomFi [Maker]
13daGGWvDQyTyHFDCPz8zDSVTWgPNNfJ4oh31Teec4TRWfjMx53,Helium Inc [Maker]
1398hLeHESZHE5jVtaLAV5fdg2vrUeZEs2B92t7TzeQTtugr8dL,Helium Inc.
14iC6N1HkqUjH7WEChHVQhPqJ1hbWBKpZXZVeHHykCA7tNDYF2C,Heltec Automation [Maker]
14DdSjvEkBQ46xQ24LAtHwQkAeoUUZHfGCosgJe33nRQ6rZwPG3,hummingbird [Maker]
13Mpg5hCNjSxHJvWjaanwJPBuTXu1d4g5pGvGBkqQe3F8mAwXhK,Kerlink [Maker]
13d4ieU8x4n3v7XtkiLio1NmT9WzKJS4BFC7jDJNbGjB5xciQC8,KuCoin
14eUfY1GsjK4WH6uZYoeagnFtigBKdvPruAXLmc5UsUMEDj3yib,Linxdot [Maker]
12zX4jgDGMbJgRwmCfRNGXBuphkQRqkUTcLzYHTQvd4Qgu8kiL4,LongAP [Maker]
138LbePH4r7hWPuTnK6HXVJ8ATM2QU71iVHzLTup1UbnPDvbxmr,Maker Integration Tests [Maker]
13eZdVcXajB3HrxKqeoPRPVPXbpqbDbaFpey5KfALk44VUphC5Z,Midas [Maker]
13H6RpJojJjkqPRfzdrFBDbpYw4b3A6HyMxgGFRgXf31Nuwq4xJ,Milesight [Maker]
13ZDVPJYtJgwsAs1dsdAT5esuQFb9GCZMeoF8KDd2csGuygJK92,Mint HNT
13swJYKbCSZt1aCBfMxL5YGaeVNudSUF5JCHvFeGH3BHRU6fDpj,Mint HNT
13Zni1he7KY9pUmkXMhEhTwfUpL9AcEV1m2UbbvFsrU9QPTMgE3,Nebra Ltd [Maker]
13v9iGhjvQUtVaZXcFFRCEbL1nPR4R8QJowBgMUcaGM2v1aV6mn,PantherX [Maker]
134C7Hn3vhfBLQZex4PVwtxQ2uPJH97h9YD2bhzy1W2XhMJyY6d,Pisces Miner [Maker]
14h2zf1gEr9NmvDb2U53qucLN2jLrKU1ECBoxGnSnQ6tiT6V2kM,RAKwireless [Maker]
143QF5dTGyAg1FqaE85mPApvjauFU8fUy6wavirQfJJDgSkC4gn,RisingHF [Maker]
14NBXJE5kAAZTMigY4dcjXSMG4CSqjYwvteQWwQsYhsu2TKN6AF,SenseCAP [Maker]
13MS2kZHU4h6wp3tExgoHdDFjBsb9HB9JBvcbK9XmfNyJ7jqzVv,Smart Mimic [Maker]
14rb2UcfS9U89QmKswpZpjRCUVCVu1haSyqyGY486EvsYtvdJmR,SyncroB.it [Maker]
